Rename:COl,genre
The Shawshank Redemption,Crime
The Godfather,Crime
The Godfather: Part II,Crime
The Dark Knight,Action
Pulp Fiction,Crime
12 Angry Men,Drama
"The Good, the Bad and the Ugly",Western
The Lord of the Rings: The Return of the King,Adventure
Schindler's List,Biography
Fight Club,Drama
The Lord of the Rings: The Fellowship of the Ring,Adventure
Inception,Action
Star Wars: Episode V - The Empire Strikes Back,Action
Forrest Gump,Drama
The Lord of the Rings: The Two Towers,Adventure
Interstellar,Adventure
One Flew Over the Cuckoo's Nest,Drama
Seven Samurai,Drama
Goodfellas,Biography
Star Wars,Action
The Matrix,Action
City of God,Crime
It's a Wonderful Life,Drama
The Usual Suspects,Crime
Se7en,Drama
Life Is Beautiful,Comedy
Once Upon a Time in the West,Western
The Silence of the Lambs,Drama
Leon: The Professional,Crime
City Lights,Comedy
Spirited Away,Animation
The Intouchables,Biography
Casablanca,Drama
Whiplash,Drama
American History X,Crime
Modern Times,Comedy
Saving Private Ryan,Action
Raiders of the Lost Ark,Action
Rear Window,Mystery
Psycho,Horror
The Green Mile,Crime
Sunset Blvd.,Drama
